pressure
x	y	pressure
0.125	0.5	-9.4980373516571e+17
0.375	0.5	-9.49859284549913e+17
0.625	0.5	-9.4997900947247e+17
0.875	0.5	-9.50164502093549e+17
1.125	0.5	-9.50427017129636e+17
1.375	0.5	-9.50776660242713e+17
1.625	0.5	-9.51220369150304e+17
1.875	0.5	-9.5176290885369e+17
2.125	0.5	-9.52408226997678e+17
2.375	0.5	-9.53160320515932e+17
2.625	0.5	-9.54023656269447e+17
2.875	0.5	-9.55003372885223e+17
3.125	0.5	-9.56105416782042e+17
3.375	0.5	-9.5733668325972e+17
3.625	0.5	-9.58705196076439e+17
3.875	0.5	-9.60220352365714e+17
4.125	0.5	-9.61893269540813e+17
4.375	0.5	-9.63737293676215e+17
4.625	0.5	-9.65768769838195e+17
4.875	0.5	-9.68008246775945e+17
5.125	0.5	-9.70482413027982e+17
5.375	0.5	-9.73227267077021e+17
5.625	0.5	-9.76293304751887e+17
5.875	0.5	-9.79753602605472e+17
6.125	0.5	-9.8371410033989e+17
6.375	0.5	-9.88315539322997e+17
6.625	0.5	-9.93671988574666e+17
6.875	0.5	-9.99512643878882e+17
7.125	0.5	-1.00363454016571e+18
7.375	0.5	-9.96044196834256e+17
7.625	0.5	-9.39199353667365e+17
7.875	0.5	-6.53762227724219e+17
8.125	0.5	-5.8921783555107e+17
8.375	0.5	-5.70502647909427e+17
8.625	0.5	-5.6151750978851e+17
8.875	0.5	-5.54696855466522e+17
9.125	0.5	-5.48401186043211e+17
9.375	0.5	-5.42252547611585e+17
9.625	0.5	-5.36155860587279e+17
9.875	0.5	-5.30086157253752e+17
10.125	0.5	-5.24038610648673e+17
10.375	0.5	-5.18014933106641e+17
10.625	0.5	-5.12018864419489e+17
10.875	0.5	-5.06054424955963e+17
11.125	0.5	-5.00125214478776e+17
11.375	0.5	-4.94234165393912e+17
11.625	0.5	-4.88383501558394e+17
11.875	0.5	-4.82574786601254e+17
12.125	0.5	-4.76809006222015e+17
12.375	0.5	-4.71086658201141e+17
12.625	0.5	-4.65407838276202e+17
12.875	0.5	-4.59772317075481e+17
13.125	0.5	-4.54179606736047e+17
13.375	0.5	-4.48629017394559e+17
13.625	0.5	-4.43119704419288e+17
13.875	0.5	-4.37650707464141e+17
14.125	0.5	-4.32220982510326e+17
14.375	0.5	-4.26829427931634e+17
14.625	0.5	-4.21474905571957e+17
14.875	0.5	-4.16156257625089e+17
15.125	0.5	-4.10872320081673e+17
15.375	0.5	-4.05621933318123e+17
15.625	0.5	-4.00403950357381e+17
15.875	0.5	-3.95217243201356e+17
16.125	0.5	-3.90060707623305e+17
16.375	0.5	-3.84933266690552e+17
16.625	0.5	-3.79833873294638e+17
16.875	0.5	-3.7476151184452e+17
17.125	0.5	-3.69715199313806e+17
17.375	0.5	-3.64693985770407e+17
17.625	0.5	-3.59696954506486e+17
17.875	0.5	-3.54723221826063e+17
18.125	0.5	-3.49771936608398e+17
18.375	0.5	-3.44842279676953e+17
18.625	0.5	-3.39933463018224e+17
18.875	0.5	-3.35044728915769e+17
19.125	0.5	-3.30175348985856e+17
19.375	0.5	-3.25324623194575e+17
19.625	0.5	-3.20491878826879e+17
19.875	0.5	-3.15676469469044e+17
20.125	0.5	-3.10877773955972e+17
20.375	0.5	-3.06095195353396e+17
20.625	0.5	-3.01328159947477e+17
20.875	0.5	-2.96576116246727e+17
21.125	0.5	-2.91838534034178e+17
21.375	0.5	-2.87114903421232e+17
21.625	0.5	-2.8240473396464e+17
21.875	0.5	-2.77707553787785e+17
22.125	0.5	-2.73022908769886e+17
22.375	0.5	-2.68350361722073e+17
22.625	0.5	-2.63689491604003e+17
22.875	0.5	-2.59039892826193e+17
23.125	0.5	-2.54401174520259e+17
23.375	0.5	-2.49772959889287e+17
23.625	0.5	-2.45154885539336e+17
23.875	0.5	-2.4054660088055e+17
24.125	0.5	-2.35947767562476e+17
24.375	0.5	-2.31358058875665e+17
24.625	0.5	-2.26777159286805e+17
24.875	0.5	-2.22204763884589e+17
