$\phi$
x	y	$\phi$
0.125	0.5	-0.00124718997697496
0.375	0.5	-0.00124757206735414
0.625	0.5	-0.00124833608182842
0.875	0.5	-0.00124948168798072
1.125	0.5	-0.0012510083875637
1.375	0.5	-0.00125291551695501
1.625	0.5	-0.00125520224776625
1.875	0.5	-0.00125786758760742
2.125	0.5	-0.00126091038100909
2.375	0.5	-0.00126432931050491
2.625	0.5	-0.00126812289787767
2.875	0.5	-0.00127228950557252
3.125	0.5	-0.00127682733828163
3.375	0.5	-0.00128173444470493
3.625	0.5	-0.00128700871949231
3.875	0.5	-0.00129264790537312
4.125	0.5	-0.00129864959547934
4.375	0.5	-0.00130501123586945
4.625	0.5	-0.00131173012826033
4.875	0.5	-0.00131880343297476
5.125	0.5	-0.00132622817211219
5.375	0.5	-0.00133400123294958
5.625	0.5	-0.00134211937157784
5.875	0.5	-0.00135057921677586
6.125	0.5	-0.00135937727411855
6.375	0.5	-0.00136850993030471
6.625	0.5	-0.00137797345767295
6.875	0.5	-0.00138776401884362
7.125	0.5	-0.00139787767137464
7.375	0.5	-0.00140831037223551
7.625	0.5	-0.00141905798176513
7.875	0.5	-0.00143011626655094
8.125	0.5	-0.00144148090028906
8.375	0.5	-0.00145314746106463
8.625	0.5	-0.00146511142246803
8.875	0.5	-0.00147736813427973
9.125	0.5	-0.00148991278568691
9.375	0.5	-0.00150274033943962
9.625	0.5	-0.00151584541786145
9.875	0.5	-0.00152922210930687
10.125	0.5	-0.00154286364339114
10.375	0.5	-0.00155676184998946
10.625	0.5	-0.00157090626218917
10.875	0.5	-0.00158528263323428
11.125	0.5	-0.00159987048924913
11.375	0.5	-0.00161463909570562
11.625	0.5	-0.00162954081459361
11.875	0.5	-0.00164450016972455
12.125	0.5	-0.00165939585286499
12.375	0.5	-0.0016740311193173
12.625	0.5	-0.00168808508728081
12.875	0.5	-0.00170103262943261
13.125	0.5	-0.0017120126087176
13.375	0.5	-0.00171961115997798
13.625	0.5	-0.00172150526420315
13.875	0.5	-0.0017138766034029
14.125	0.5	-0.00169044777646205
14.375	0.5	-0.00164089795138694
14.625	0.5	-0.00154825943587377
14.875	0.5	-0.00138464257398094
15.125	0.5	-0.0011042235232336
15.375	0.5	-0.000631764133333734
15.625	0.5	0.000156124042457774
15.875	0.5	0.00146139846813966
16.125	0.5	0.00361354256991209
16.375	0.5	0.00714720563776285
16.625	0.5	0.0129222502723382
16.875	0.5	0.0223012106120343
17.125	0.5	0.0373902467429193
17.375	0.5	0.0613110734128726
17.625	0.5	0.0983653158641907
17.875	0.5	0.153738123334273
18.125	0.5	0.2321276364365
18.375	0.5	0.334827460933025
18.625	0.5	0.456227765797655
18.875	0.5	0.58314635013034
19.125	0.5	0.699796789013657
19.375	0.5	0.795103743903869
19.625	0.5	0.865911388089364
19.875	0.5	0.91497487040394
20.125	0.5	0.947384841581231
20.375	0.5	0.968132765407946
20.625	0.5	0.981150951735971
20.875	0.5	0.989215729348867
21.125	0.5	0.994171083237695
21.375	0.5	0.997198976254269
21.625	0.5	0.999041210633769
21.875	0.5	1.00015749470652
22.125	0.5	1.00083055823904
22.375	0.5	1.00123348985164
22.625	0.5	1.00147196339386
22.875	0.5	1.00161038873463
23.125	0.5	1.00168798713484
23.375	0.5	1.00172862922945
23.625	0.5	1.00174683971476
23.875	0.5	1.00175145647123
24.125	0.5	1.00174785820521
24.375	0.5	1.00173931984082
24.625	0.5	1.00172783692106
24.875	0.5	1.00171462694469
25.125	0.5	1.00170043420984
25.375	0.5	1.00168571516974
25.625	0.5	1.00167075113502
25.875	0.5	1.00165571680223
26.125	0.5	1.0016407219247
26.375	0.5	1.00162583665387
26.625	0.5	1.00161110695199
26.875	0.5	1.00159656396786
27.125	0.5	1.00158222974153
27.375	0.5	1.00156812067673
27.625	0.5	1.00155424965553
27.875	0.5	1.00154062732713
28.125	0.5	1.00152726289422
28.375	0.5	1.00151416459352
28.625	0.5	1.00150133999011
28.875	0.5	1.00148879615836
29.125	0.5	1.00147653979357
29.375	0.5	1.00146457728147
29.625	0.5	1.00145291474171
29.875	0.5	1.00144155805561
30.125	0.5	1.00143051288394
30.375	0.5	1.00141978467876
30.625	0.5	1.00140937869132
30.875	0.5	1.00139929997766
31.125	0.5	1.00138955340247
31.375	0.5	1.0013801436421
31.625	0.5	1.00137107518669
31.875	0.5	1.00136235234192
32.125	0.5	1.00135397923034
32.375	0.5	1.00134595979245
32.625	0.5	1.00133829778753
32.875	0.5	1.00133099679432
33.125	0.5	1.0013240602116
33.375	0.5	1.00131749125856
33.625	0.5	1.00131129297516
33.875	0.5	1.00130546822235
34.125	0.5	1.00130001968228
34.375	0.5	1.00129494985837
34.625	0.5	1.00129026107541
34.875	0.5	1.00128595547958
35.125	0.5	1.00128203503845
35.375	0.5	1.00127850154097
35.625	0.5	1.00127535659742
35.875	0.5	1.00127260163936
36.125	0.5	1.00127023791957
36.375	0.5	1.00126826651201
36.625	0.5	1.00126668831174
36.875	0.5	1.00126550403486
37.125	0.5	1.00126471421853
37.375	0.5	1.00126431922083
0.125	1.5	-0.00124727260404601
0.375	1.5	-0.00124765458304477
0.625	1.5	-0.00124841837352972
0.875	1.5	-0.00124956364061857
1.125	1.5	-0.0012510898823456
1.375	1.5	-0.00125299643009199
1.625	1.5	-0.00125528244916143
1.875	1.5	-0.00125794693950242
2.125	1.5	-0.00126098873657918
2.375	1.5	-0.0012644065123937
2.625	1.5	-0.00126819877666139
2.875	1.5	-0.00127236387814384
3.125	1.5	-0.00127690000614216
3.375	1.5	-0.00128180519215515
3.625	1.5	-0.00128707731170691
3.875	1.5	-0.00129271408634901
4.125	1.5	-0.00129871308584281
4.375	1.5	-0.00130507173052806
4.625	1.5	-0.00131178729388404
4.875	1.5	-0.00131885690528989
5.125	1.5	-0.00132627755299041
5.375	1.5	-0.00133404608727307
5.625	1.5	-0.00134215922386021
5.875	1.5	-0.00135061354751693
6.125	1.5	-0.00135940551586949
6.375	1.5	-0.00136853146341834
6.625	1.5	-0.00137798760571184
6.875	1.5	-0.00138777004361687
7.125	1.5	-0.00139787476757181
7.375	1.5	-0.00140829766162376
7.625	1.5	-0.0014190345069132
7.875	1.5	-0.00143008098404056
8.125	1.5	-0.00144143267337162
8.375	1.5	-0.00145308505171739
8.625	1.5	-0.00146503348280062
8.875	1.5	-0.00147727319723749
9.125	1.5	-0.00148979925499299
9.375	1.5	-0.00150260647871194
9.625	1.5	-0.0015156893388336
9.875	1.5	-0.00152904175907266
10.125	1.5	-0.00154265679057935
10.375	1.5	-0.00155652606975598
10.625	1.5	-0.00157063891988418
10.875	1.5	-0.0015849808665549
11.125	1.5	-0.00159953118861141
11.375	1.5	-0.00161425888244345
11.625	1.5	-0.00162911601638159
11.875	1.5	-0.0016440267922693
12.125	1.5	-0.00165886954631721
12.375	1.5	-0.0016734471368599
12.625	1.5	-0.00168743823167134
12.875	1.5	-0.00170031718045546
13.125	1.5	-0.0017112222197566
13.375	1.5	-0.00171873870395072
13.625	1.5	-0.00172054259573355
13.875	1.5	-0.00171281418173048
14.125	1.5	-0.00168927405619261
14.375	1.5	-0.00163959838586463
14.625	1.5	-0.00154681483443
14.875	1.5	-0.00138302638318914
15.125	1.5	-0.00110239732145146
15.375	1.5	-0.000629670172054167
15.625	1.5	0.000158575143073628
15.875	1.5	0.00146434788317218
16.125	1.5	0.00361721593948255
16.375	1.5	0.00715196499634521
16.625	1.5	0.0129286739314938
16.875	1.5	0.0223102090379692
