x	y	$\phi$	X Velocity	Y Velocity	pressure	$\beta$
0.075	0.1	-4.57639600385218e-05	0.8	-0.0118311392776172	48.5130571484925	0.199963388831969
0.225	0.1	-4.58069581978186e-05	0.790525658993456	0.0084351185273086	48.5047842421673	0.199963354433442
0.375	0.1	-4.58422859543736e-05	0.803515583951431	0.00233864639354383	48.495633966189	0.199963326171237
0.525	0.1	-4.58690238784914e-05	0.801313538466963	0.000728865803516857	48.4865833957249	0.199963304780897
0.675	0.1	-4.58909777737286e-05	0.800572739388493	0.000253741267419915	48.4775653388536	0.199963287217781
0.825	0.1	-4.59105778682492e-05	0.800290800210583	0.000100653363449978	48.4685592239598	0.199963271537705
0.975	0.1	-4.59290024188276e-05	0.800169080614025	4.53573342238076e-05	48.4595580859561	0.199963256798065
1.125	0.1	-4.59467760849596e-05	0.800110398360496	2.2690151721898e-05	48.450559277177	0.199963242579132
1.275	0.1	-4.59641273304519e-05	0.800079649179539	1.22116093696012e-05	48.4415616634441	0.199963228698136
1.425	0.1	-4.59811574995414e-05	0.800062641329624	6.8564290249014e-06	48.4325647031377	0.199963215074
1.575	0.1	-4.59979146265413e-05	0.800052982477831	3.90123957443785e-06	48.4235681134715	0.199963201668299
1.725	0.1	-4.60144245745059e-05	0.800047510033971	2.17630243399891e-06	48.4145717363106	0.19996318846034
1.875	0.1	-4.60307039430377e-05	0.800044535387523	1.12827492642701e-06	48.4055754785963	0.199963175436846
2.025	0.1	-4.60467653477234e-05	0.800043101161811	4.73613370023675e-07	48.3965792834956	0.199963162587722
2.175	0.1	-4.60626195458055e-05	0.800042638427247	5.74350414443733e-08	48.3875831153848	0.199963149904363
2.325	0.1	-4.60782762742633e-05	0.800042796327508	-2.09280016199038e-07	48.3785869515629	0.199963137378981
2.475	0.1	-4.60937445726367e-05	0.800043352045822	-3.79844212119242e-07	48.3695907774557	0.199963125004342
2.625	0.1	-4.61090329070318e-05	0.80004416076183	-4.87281657697246e-07	48.360594583731	0.199963112773674
2.775	0.1	-4.6124149222449e-05	0.800045126656405	-5.52634962917599e-07	48.351598364504	0.199963100680622
2.925	0.1	-4.61391009726606e-05	0.800046185498513	-5.8963497539903e-07	48.3426021161923	0.199963088719222
