x	$\phi$	X Velocity
0.125	-1.33560651269365e-11	0
0.375	-1.34127987210776e-11	0
0.625	-1.35264936268904e-11	0
0.875	-1.3697606133044e-11	0
1.125	-1.39268228094994e-11	0
1.375	-1.42150630800939e-11	0
1.625	-1.45634826664035e-11	0
1.875	-1.49734779147268e-11	0
2.125	-1.54466910210594e-11	0
2.375	-1.59850161720016e-11	0
2.625	-1.65906066226738e-11	0
2.875	-1.72658827359044e-11	0
3.125	-1.80135410102256e-11	0
3.375	-1.88365641275636e-11	0
3.625	-1.97382320549543e-11	0
3.875	-2.07221342381709e-11	0
4.125	-2.17921829288099e-11	0
4.375	-2.29526276901813e-11	0
4.625	-2.4208071131272e-11	0
4.875	-2.55634859221356e-11	0
5.125	-2.70242331482982e-11	0
5.375	-2.85960820661844e-11	0
5.625	-3.0285231326168e-11	0
5.875	-3.2098331734648e-11	0
6.125	-3.40425106315675e-11	0
6.375	-3.61253979650281e-11	0
6.625	-3.8355154150139e-11	0
6.875	-4.07404998049785e-11	0
7.125	-4.32907474625619e-11	0
7.375	-4.60158353640147e-11	0
7.625	-4.89263634447664e-11	0
7.875	-5.20336316325201e-11	0
8.125	-5.53496805830429e-11	0
8.375	-5.88873349874744e-11	0
8.625	-6.26602495928914e-11	0
8.875	-6.66829580863174e-11	0
9.125	-7.09709250012446e-11	0
9.375	-7.55406008150723e-11	0
9.625	-8.04094804156817e-11	0
9.875	-8.55961651256861e-11	0
10.125	-9.11204284837528e-11	0
10.375	-9.70032859938073e-11	0
10.625	-1.03267069064934e-10	0
10.875	-1.09935503377422e-10	0
11.125	-1.17033791923683e-10	0
11.375	-1.24588702986733e-10	0
11.625	-1.32628663333651e-10	0
11.875	-1.41183856916837e-10	0
12.125	-1.50286329392191e-10	0
12.375	-1.59970098780414e-10	0
12.625	-1.70271272615589e-10	0
12.875	-1.81228171944137e-10	0
13.125	-1.928814625571e-10	0
13.375	-2.05274293859592e-10	0
13.625	-2.18452445803254e-10	0
13.875	-2.32464484330613e-10	0
14.125	-2.47361925804535e-10	0
14.375	-2.63199410921456e-10	0
14.625	-2.80034888633897e-10	0
14.875	-2.97929810635912e-10	0
15.125	-3.16949336994714e-10	0
15.375	-3.37162553542812e-10	0
15.625	-3.58642701677618e-10	0
15.875	-3.81467421249783e-10	0
16.125	-4.05719007257496e-10	0
16.375	-4.31484681101793e-10	0
16.625	-4.58856877197578e-10	0
16.875	-4.87933545776705e-10	0
17.125	-5.1881847276316e-10	0
17.375	-5.51621617646251e-10	0
17.625	-5.86459470325779e-10	0
17.875	-6.23455427953665e-10	0
18.125	-6.62740192849401e-10	0
18.375	-7.04452192622191e-10	0
18.625	-7.48738023690844e-10	0
18.875	-7.95752919453462e-10	0
19.125	-8.45661244422913e-10	0
19.375	-8.98637015711072e-10	0
19.625	-9.54864453314995e-10	0
19.875	-1.01453856073179e-09	0
20.125	-1.0778657375059e-09	0
20.375	-1.14506442539329e-09	0
20.625	-1.21636578991136e-09	0
20.875	-1.29201443913207e-09	0
21.125	-1.372269181668e-09	0
21.375	-1.45740382589835e-09	0
21.625	-1.54770802258281e-09	0
21.875	-1.64348815311766e-09	0
22.125	-1.74506826579919e-09	0
22.375	-1.85279106257542e-09	0
22.625	-1.96701893888868e-09	0
22.875	-2.08813507933808e-09	0
23.125	-2.21654461202372e-09	0
23.375	-2.35267582457254e-09	0
23.625	-2.49698144499095e-09	0
23.875	-2.64993999063991e-09	0
24.125	-2.81205718878647e-09	0
24.375	-2.98386747235013e-09	0
24.625	-3.16593555463478e-09	0
24.875	-3.35885808701624e-09	0
25.125	-3.56326540374309e-09	0
25.375	-3.77982335820356e-09	0
25.625	-4.00923525521561e-09	0
25.875	-4.25224388410949e-09	0
26.125	-4.50963365759423e-09	0
26.375	-4.78223286163015e-09	0
26.625	-5.07091602177064e-09	0
26.875	-5.37660639168725e-09	0
27.125	-5.70027856985353e-09	0
27.375	-6.04296125063526e-09	0
27.625	-6.40574011631814e-09	0
27.875	-6.78976087689912e-09	0
28.125	-7.19623246477454e-09	0
28.375	-7.62643039177766e-09	0
28.625	-8.08170027635063e-09	0
28.875	-8.56346154898137e-09	0
29.125	-9.07321134439524e-09	0
29.375	-9.61252858936473e-09	0
29.625	-1.01830782953886e-08	0
29.875	-1.07866160658951e-08	0
30.125	-1.14249928280419e-08	0
30.375	-1.2100159799622e-08	0
30.625	-1.28141737020333e-08	0
30.875	-1.35692022307406e-08	0
31.125	-1.43675297951432e-08	0
31.375	-1.52115635402655e-08	0
31.625	-1.61038396632099e-08	0
31.875	-1.70470300378544e-08	0
32.125	-1.80439491618371e-08	0
32.375	-1.90975614404511e-08	0
32.625	-2.02109888226767e-08	0
32.875	-2.13875188051997e-08	0
33.125	-2.26306128209104e-08	0
33.375	-2.39439150290443e-08	0
33.625	-2.53312615248184e-08	0
33.875	-2.67966899871259e-08	0
34.125	-2.83444497835958e-08	0
34.375	-2.99790125530792e-08	0
34.625	-3.17050832864182e-08	0
34.875	-3.35276119271595e-08	0
35.125	-3.54518055147182e-08	0
35.375	-3.74831408933599e-08	0
35.625	-3.9627378011263e-08	0
35.875	-4.18905738348412e-08	0
36.125	-4.42790969044565e-08	0
36.375	-4.67996425586267e-08	0
36.625	-4.94592488548389e-08	0
36.875	-5.22653132161132e-08	0
37.125	-5.52256098335264e-08	0
37.375	-5.83483078559982e-08	0
37.625	-6.16419903997695e-08	0
37.875	-6.51156744111544e-08	0
38.125	-6.87788314173364e-08	0
38.375	-7.26414092011954e-08	0
38.625	-7.67138544374013e-08	0
38.875	-8.10071363282889e-08	0
39.125	-8.55327712793431e-08	0
39.375	-9.03028486554632e-08	0
39.625	-9.53300576605522e-08	0
39.875	-1.00627715384383e-07	0
40.125	-1.0620979606213e-07	0
40.375	-1.12090961593421e-07	0
40.625	-1.18286593369273e-07	0
40.875	-1.24812825456788e-07	0
41.125	-1.31686579193063e-07	0
41.375	-1.38925599241345e-07	0
41.625	-1.4654849116408e-07	0
41.875	-1.54574760569157e-07	0
42.125	-1.63024853887313e-07	0
42.375	-1.71920200840372e-07	0
42.625	-1.81283258661694e-07	0
42.875	-1.91137558131991e-07	0
43.125	-2.01507751495395e-07	0
43.375	-2.1241966232249e-07	0
43.625	-2.23900337388797e-07	0
43.875	-2.35978100639057e-07	0
44.125	-2.48682609309465e-07	0
44.375	-2.62044912281893e-07	0
44.625	-2.76097510745986e-07	0
44.875	-2.90874421246883e-07	0
45.125	-3.06411241198225e-07	0
45.375	-3.22745216941937e-07	0
45.625	-3.39915314438213e-07	0
45.875	-3.57962292670961e-07	0
46.125	-3.7692877985585e-07	0
46.375	-3.96859352539965e-07	0
46.625	-4.17800617683895e-07	0
46.875	-4.39801297818918e-07	0
47.125	-4.62912319373734e-07	0
47.375	-4.87186904266955e-07	0
47.625	-5.12680664863301e-07	0
47.875	-5.39451702393141e-07	0
48.125	-5.67560708936644e-07	0
48.375	-5.97071073075417e-07	0
48.625	-6.28048989316018e-07	0
48.875	-6.60563571391209e-07	0
49.125	-6.94686969546206e-07	0
49.375	-7.3049449191848e-07	0
49.625	-7.68064730120896e-07	0
