x	y	$\phi$	X Velocity	Y Velocity	pressure	$\beta$
0.075	0.25	1.21019977785187e-07	0.8	-0.0103996992149639	31.38405915762	1
0.225	0.25	1.26786279478792e-07	0.757808409225975	0.00374557011192474	31.2925582223581	1
0.375	0.25	1.3579030062149e-07	0.804631365657955	0.00233605311420724	31.1867162684144	1
0.525	0.25	1.45752680974272e-07	0.803031053350529	0.00147197083334952	31.0811686862278	1
0.675	0.25	1.54449152524671e-07	0.802016373171185	0.000938109736847592	30.97580690201	1
0.825	0.25	1.59564359796989e-07	0.801365230949882	0.000605410488109688	30.8705637537539	1
0.975	0.25	1.5857868094956e-07	0.800941844020489	0.000396087359764164	30.7653973241639	1
1.125	0.25	1.4867802783361e-07	0.800662586937872	0.000263000607725133	30.6602811968794	1
1.275	0.25	1.26679926472609e-07	0.800475548789827	0.000177410432656379	30.5551985464641	1
1.425	0.25	8.89714493600461e-08	0.800348225618223	0.000121679098102598	30.4501385315057	1
1.575	0.25	3.14561314970103e-08	0.800260071853145	8.49038196387644e-05	30.3450940784319	1
1.725	0.25	-5.04919233693613e-08	0.800197966715398	6.02916664653676e-05	30.2400605097809	1
1.875	0.25	-1.62067802239912e-07	0.800153437655436	4.35738482480347e-05	30.1350346883321	1
2.025	0.25	-3.09069962209089e-07	0.800120948343932	3.20427277171163e-05	30.0300144784398	1
2.175	0.25	-4.97929048338103e-07	0.800096835276153	2.3963603944557e-05	29.9249984038049	1
2.325	0.25	-7.357313515861e-07	0.800078641978058	1.82131420299355e-05	29.8199854278435	1
2.475	0.25	-1.03023677588473e-06	0.80006469855792	1.40555958128663e-05	29.7149748112037	1
2.625	0.25	-1.38989111193283e-06	0.800053853735005	1.1003284786472e-05	29.6099660182715	1
2.775	0.25	-1.8238323876106e-06	0.800045302362378	8.72890864643138e-06	29.5049586550804	1
2.925	0.25	-2.34189106844004e-06	0.800038473251549	7.00996890279038e-06	29.399952427561	1
3.075	0.25	-2.9545839065994e-06	0.800032955413391	5.69322015878636e-06	29.2949471131037	1
3.225	0.25	-3.67310127593298e-06	0.800028449002903	4.67171341836325e-06	29.1899425409362	1
3.375	0.25	-4.50928787672663e-06	0.800024732307706	3.86982054081999e-06	29.0849385784024	1
3.525	0.25	-5.47561674206734e-06	0.800021639263692	3.23336179691806e-06	28.9799351212435	1
3.675	0.25	-6.58515652216224e-06	0.800019043953098	2.72302625330853e-06	28.874932086623	1
3.825	0.25	-7.85153205912595e-06	0.800016849785072	2.30993742425167e-06	28.7699294080574	1
3.975	0.25	-9.28887828768799e-06	0.800014981852078	1.97263055666885e-06	28.6649270316874	1
4.125	0.25	-1.09117875023699e-05	0.80001338146465	1.69496843575649e-06	28.5599249135017	1
4.275	0.25	-1.27352500143864e-05	0.800012002198205	1.46468783367551e-06	28.4549230172479	1
4.425	0.25	-1.47745881774209e-05	0.800010807000367	1.27237407384921e-06	28.3499213128422	1
4.575	0.25	-1.70453836862776e-05	0.800009766051783	1.11072965814599e-06	28.2449197751478	1
4.725	0.25	-1.95633979422557e-05	0.800008855167026	9.74046913629055e-07	28.1399183830266	1
4.875	0.25	-2.23444851303114e-05	0.800008054587423	8.57823579046741e-07	28.0349171185976	1
5.025	0.25	-2.54044974625468e-05	0.800007348061255	7.58479888221814e-07	27.9299159666504	1
5.175	0.25	-2.87591818077937e-05	0.800006722136394	6.73148239409784e-07	27.8249149141792	1
5.325	0.25	-3.24240666463504e-05	0.800006165611767	5.99515341876167e-07	27.7199139500095	1
5.475	0.25	-3.64143379615674e-05	0.800005669108701	5.35702787046229e-07	27.6149130644957	1
5.625	0.25	-4.07447023064862e-05	0.800005224733105	4.8017576852222e-07	27.5099122492768	1
5.775	0.25	-4.54292348660639e-05	0.80000482580791	4.31672940313576e-07	27.4049114970758	1
5.925	0.25	-5.04812098773365e-05	0.800004466658907	3.8915195554072e-07	27.2999108015345	1
6.075	0.25	-5.59129102767861e-05	0.800004142443056	3.51746981420595e-07	27.1949101570781	1
6.225	0.25	-6.17354129239487e-05	0.800003849009475	3.1873523465744e-07	27.0899095588015	1
6.375	0.25	-6.79583452130078e-05	0.800003582786589	2.89510585364365e-07	26.9849090023752	1
6.525	0.25	-7.45896083421964e-05	0.800003340689618	2.63562434283798e-07	26.8799084839656	1
6.675	0.25	-8.16350619789753e-05	0.800003120044943	2.40458861960861e-07	26.7749080001683	1
6.825	0.25	-8.90981645537849e-05	0.800002918527267	2.19833091930654e-07	26.6699075479521	1
6.975	0.25	-9.69795629547176e-05	0.800002734107877	2.01372412367756e-07	26.5649071246102	1
7.125	0.25	-0.000105276624998293	0.800002565011275	1.84809280735329e-07	26.4599067277197	1
7.275	0.25	-0.000113982907735844	0.800002409679086	1.69914000206547e-07	26.3549063551068	1
7.425	0.25	-0.000123087554437672	0.800002266739508	1.56488709235494e-07	26.249906004816	1
7.575	0.25	-0.000132574612993304	0.800002134981934	1.44362435637394e-07	26.1449056750849	1
7.725	0.25	-0.000142422268490289	0.800002013335099	1.3338699231663e-07	26.0399053643214	1
7.875	0.25	-0.000152601982903909	0.800001900848767	1.23433565353914e-07	25.9349050710844	1
8.025	0.25	-0.000163077535175904	0.800001796678061	1.14389869077611e-07	25.8299047940668	1
8.175	0.25	-0.000173803955541579	0.800001700070035	1.06157768786764e-07	25.724904532081	1
8.325	0.25	-0.00018472634889938	0.800001610352238	9.86512629405745e-08	25.6199042840458	1
8.475	0.25	-0.000195778603524994	0.800001526922824	9.17948231008524e-08	25.5149040489753	1
8.625	0.25	-0.00020688198389084	0.800001449242016	8.55219275571705e-08	25.4099038259689	1
8.775	0.25	-0.000217943610353572	0.800001376824825	7.97738731530541e-08	25.3049036142027	1
8.925	0.25	-0.00022885483483873	0.800001309234644	7.44987369470245e-08	25.1999034129215	1
9.075	0.25	-0.000239489531309753	0.800001246077643	6.96504985582176e-08	25.0949032214323	1
